timestamp	datetime	cpu_freq_max	cpu_freq_avg	cpu_temp	cpu_usage	pkg_w	core_w	uncore_w	dram_w	th_thermal	th_power	th_current	th_vr_th	th_vr_cur	pl1	pl2	bd_prochot	gpu_util	gpu_temp	gpu_power	mem_used	mem_total	mem_pct	net_rx	net_tx	disk_read	disk_write
1787374304.4684434	12:51:44	3400	2026.25	27.8	8.598728532675143	8.419866096045586	6.157422670720843	0.0	0.8927270930322381	0	0	0	0	0	False	False	False	44.0	55.0	0	2064	11830	17.447168216398985	0	0	0	0
1787374334.5023315	12:52:14	3400	2553.25	27.8	10.725423562021916	9.644706150722122	6.888269105246575	0.0	0.9203799722110813	0	0	0	0	0	False	False	False	34.0	56.0	0	2084	11830	17.61622992392223	0	0	0	0
1787374364.5263343	12:52:44	3400	2878.5	27.8	8.378587431485595	7.89847063815944	5.843656387390308	0.0	0.9111539744408989	0	0	0	0	0	False	False	False	44.0	56.0	0	2061	11830	17.4218089602705	0	0	0	0
1787374394.5593114	12:53:14	3399	1612.0	27.8	15.11646317707483	13.116404718090747	9.68754702770632	0.0	0.9861883111390946	0	0	0	0	0	False	False	False	36.0	56.0	0	2298	11830	19.425190194420964	0	0	0	0
1787374424.5850382	12:53:44	3400	2683.125	27.8	5.452780656125173	7.332119643467615	5.325265131613102	0.0	0.7952955947596692	0	0	0	0	0	False	False	False	36.0	55.0	0	2224	11830	18.799661876584953	0	0	0	0
1787374454.6126468	12:54:14	3400	2354.25	27.8	3.1987821166400283	5.877436843906348	5.472706932980928	0.0	0.7704795370389812	0	0	0	0	0	False	False	False	0	53.0	0	2176	11830	18.393913778529164	0	0	0	0
1787374484.6419318	12:54:44	3400	2481.375	27.8	2.008883357139536	4.642119883750948	2.936359688486393	0.0	0.5709504752206159	0	0	0	0	0	False	False	False	0	49.0	0	2170	11830	18.34319526627219	0	0	0	0
1787374514.6744182	12:55:14	2401	650.0	27.8	0.8770571311588787	3.0231762102065787	1.1742568399178868	0.0	0.525541943747747	0	0	0	0	0	False	False	False	0	47.0	0	2178	11830	18.41081994928149	0	0	0	0
1787374544.7043052	12:55:44	1575	546.875	27.8	0.776302806416046	3.025121535096041	1.5320410280461174	0.0	0.5367458569842027	0	0	0	0	0	False	False	False	0	46.0	0	2170	11830	18.34319526627219	0	0	0	0
1787374574.7396123	12:56:14	400	400.0	27.8	0.8012030048120206	2.980642869961136	1.128424514852428	0.0	0.5254083937299853	0	0	0	0	0	False	False	False	0	45.0	0	2158	11830	18.24175824175824	0	0	0	0
1787374604.7690914	12:56:44	1352	519.0	27.8	0.8267058188714677	2.9565168286419965	1.1548329728666642	0.0	0.5260712979509599	0	0	0	0	0	False	False	False	0	42.0	0	2157	11830	18.23330515638208	0	0	0	0
1787374634.8051698	12:57:14	1848	666.0	27.8	0.9004022040184565	2.9682512288879175	1.1405418057343772	0.0	0.5260949805869207	0	0	0	0	0	False	False	False	20.0	41.0	0	2166	11830	18.30938292476754	0	0	0	0
1787374664.8344438	12:57:44	961	470.125	27.8	0.8753541134743442	2.971441773309131	1.1381700934121315	0.0	0.5256364738332948	0	0	0	0	0	False	False	False	5.0	41.0	0	2159	11830	18.250211327134405	0	0	0	0
1787374694.8703332	12:58:14	1159	494.875	27.8	0.9762543170751579	3.2706259726681437	1.139512774484793	0.0	0.5261337968838581	0	0	0	0	0	False	False	False	14.0	39.0	0	2168	11830	18.326289095519865	0	0	0	0
1787374724.8959174	12:58:44	3386	891.5	27.8	1.1301940920500062	4.171305310098998	1.9693710208229753	0.0	0.548172865700213	0	0	0	0	0	False	False	False	0	43.0	0	2156	11830	18.224852071005916	0	0	0	0
1787374754.9286125	12:59:14	884	518.125	27.8	0.8013537090292941	2.9526784361180405	1.7039050486167697	0.0	0.5556501367954025	0	0	0	0	0	False	False	False	5.0	44.0	0	2169	11830	18.334742180896026	0	0	0	0
1787374784.9583187	12:59:44	3400	1296.375	27.8	1.0277088313172533	3.131168009091165	1.1140274075359415	0.0	0.5247022805065267	0	0	0	0	0	False	False	False	8.0	43.0	0	2162	11830	18.27557058326289	0	0	0	0
1787374814.9934027	13:00:14	515	414.25	27.8	0.8256022024088108	2.938572505682437	1.2528326761293598	0.0	0.52822795205499	0	0	0	0	0	False	False	False	0	43.0	0	2165	11830	18.30092983939138	0	0	0	0
1787374845.0229402	13:00:45	2104	836.125	27.8	0.8503014024104305	2.950964110704758	1.120716436882021	0.0	0.5251609992852853	0	0	0	0	0	False	False	False	0	42.0	0	2166	11830	18.30938292476754	0	0	0	0
1787374875.0594416	13:01:15	883	460.375	27.8	0.7261026068200671	2.928360837252403	1.1173359626131334	0.0	0.5251379722579285	0	0	0	0	0	False	False	False	0	42.0	0	2150	11830	18.17413355874894	0	0	0	0
