时间戳,标签,缓解状态,供电,电池%,Governor,EPP,PL1W,平均万/s,轮1万/s,轮2万/s,温度1,环境温度C,温度2,GPU状态
2026-08-17_10:44,换脂后_AC_集显_25W_105mV,,AC,81,powersave,performance,25,1590.5,1593.0,1588.0,55.0->59.0,27.8,,NVIDIA-SMI has failed because it couldn't communicate with the NVIDIA driver. Make sure that the latest NVIDIA driver is installed and running.
2026-08-17_10:55,换脂后_AC_集显_25W_105mV_重启验证,,AC,88,powersave,performance,25,1663.8,1679.4,1648.1,55.0->60.0,27.8,,NVIDIA-SMI has failed because it couldn't communicate with the NVIDIA driver. Make sure that the latest NVIDIA driver is installed and running.
2026-08-17_11:17,换脂后_DC_集显_25W_105mV,,DC,93,powersave,performance,25,1615.1,1636.9,1593.2,53.0->59.0,27.8,,NVIDIA-SMI has failed because it couldn't communicate with the NVIDIA driver. Make sure that the latest NVIDIA driver is installed and running.
2026-08-17_11:29,换脂后_AC_集显_25W_105mV_EPP性能,,AC,95,powersave,performance,25,1635.0,1656.3,1613.7,54.0->59.0,27.8,,NVIDIA-SMI has failed because it couldn't communicate with the NVIDIA driver. Make sure that the latest NVIDIA driver is installed and running.
2026-08-17_11:35,换脂后_AC_集显_25W_105mV_EPP平衡2,,AC,97,powersave,balance_performance,25,1636.0,1659.4,1612.5,55.0->60.0,27.8,,NVIDIA-SMI has failed because it couldn't communicate with the NVIDIA driver. Make sure that the latest NVIDIA driver is installed and running.
2026-08-17_11:45,换脂后_AC_集显_25W_105mV_EPP省电2,,AC,98,powersave,power,25,1634.2,1651.6,1616.8,55.0->60.0,27.8,,NVIDIA-SMI has failed because it couldn't communicate with the NVIDIA driver. Make sure that the latest NVIDIA driver is installed and running.
2026-08-17_11:53,换脂后_DC_集显_25W_105mV_EPP平衡功耗,,DC,97,powersave,balance_power,25,964.7,972.9,956.5,47.0->50.0,27.8,,NVIDIA-SMI has failed because it couldn't communicate with the NVIDIA driver. Make sure that the latest NVIDIA driver is installed and running.
2026-08-17_12:07,换脂后_DC_集显_25W_105mV_EPP平衡功耗_复测,,DC,88,powersave,balance_power,25,946.7,951.8,941.6,55.0->52.0,27.8,,NVIDIA-SMI has failed because it couldn't communicate with the NVIDIA driver. Make sure that the latest NVIDIA driver is installed and running.
2026-08-17_14:26,20260817_1424,,AC,100,powersave,performance,25,1561.5,1570.5,1552.4,57.0->60.0,27.8,,NVIDIA-SMI has failed because it couldn't communicate with the NVIDIA driver. Make sure that the latest NVIDIA driver is installed and running.
2026-08-18_09:41,AC独显_25W_105mV_基线,,AC,100,powersave,performance,25,1680.2,1704.9,1655.4,64.0->70.0,27.8,,36, 65
2026-08-18_10:28,AC独显_25W_100mV_复测,,AC,100,powersave,performance,25,1707.2,1729.3,1685.0,66.0->71.0,27.8,,37, 66
时间戳,配置,供电,电池%,EPP,吞吐,整机功耗W,温度,备注
2026-08-18_10:31,M2_离电均衡_balanced_独显_空闲,DC,97,balance_power,-,23.7,54-57,实测60s
2026-08-18_10:33,M3_离电效能_power_独显_空闲,DC,95,power,-,23.6,55,实测60s
2026-08-18_10:49,M2_轻载_1线程_balanced_独显,DC,88,balance_power,67377次,24.5,~57,实测20s+功耗采样
2026-08-18_10:51,M3_轻载_1线程_power_独显,DC,86,power,32360次,19.2,~55,实测20s+功耗采样
2026-08-18_10:29,AC独显_25W_100mV_复测,AC,100,performance,1707.2,~40,71,基准复测-105mV回退后
2026-08-18_13:22,AC空闲_25W_100mV_Cstate9_撤销后,AC,100,performance,-,5.53,61,RAPL 60s×2(5.53/5.52W); C-state=1时代10.95W; 深C恢复省~5.4W
2026-08-18_10:06,电池健康度基线,AC,92,performance,-,-,-,LG电池 charge_full=2618mAh/design=3220mAh=81.3%; 固件无80%限充支持,部署battery-care提醒工具
